epoch,loss,mae,val_loss,val_mae
0,1.943790078163147,1.943790078163147,2.0619707107543945,2.0619707107543945
1,1.8692004680633545,1.8692004680633545,2.0599074363708496,2.0599074363708496
2,1.8531265258789062,1.8531265258789062,2.05428409576416,2.05428409576416
3,1.8408323526382446,1.8408323526382446,2.049248218536377,2.049248218536377
4,1.831276535987854,1.831276535987854,2.0435702800750732,2.0435702800750732
5,1.824600338935852,1.824600338935852,2.040571928024292,2.040571928024292
6,1.8199721574783325,1.8199721574783325,2.037339925765991,2.037339925765991
7,1.815949559211731,1.815949559211731,2.035764455795288,2.035764455795288
8,1.8135262727737427,1.8135262727737427,2.033921003341675,2.033921003341675
9,1.8122228384017944,1.8122228384017944,2.0335724353790283,2.0335724353790283
10,1.8107064962387085,1.8107064962387085,2.02945613861084,2.02945613861084
11,1.8100203275680542,1.8100203275680542,2.028204917907715,2.028204917907715
12,1.8084356784820557,1.8084356784820557,2.0281190872192383,2.0281190872192383
13,1.8073949813842773,1.8073949813842773,2.0276706218719482,2.0276706218719482
14,1.8067060708999634,1.8067060708999634,2.025413751602173,2.025413751602173
15,1.80549955368042,1.80549955368042,2.0247180461883545,2.0247180461883545
16,1.8041679859161377,1.8041679859161377,2.024134397506714,2.024134397506714
17,1.8032965660095215,1.8032965660095215,2.0231170654296875,2.0231170654296875
18,1.8021743297576904,1.8021743297576904,2.0245940685272217,2.0245940685272217
19,1.8011106252670288,1.8011106252670288,2.022233724594116,2.022233724594116
20,1.8005460500717163,1.8005460500717163,2.021317481994629,2.021317481994629
21,1.7995868921279907,1.7995868921279907,2.018765449523926,2.018765449523926
22,1.7979927062988281,1.7979927062988281,2.0186781883239746,2.0186781883239746
23,1.796828031539917,1.796828031539917,2.0173068046569824,2.0173068046569824
24,1.7956652641296387,1.7956652641296387,2.0144619941711426,2.0144619941711426
25,1.7948474884033203,1.7948474884033203,2.014925479888916,2.014925479888916
26,1.7934541702270508,1.7934541702270508,2.0125768184661865,2.0125768184661865
27,1.7926748991012573,1.7926748991012573,2.0115084648132324,2.0115084648132324
