epoch,loss,mae,val_loss,val_mae
0,2.0044705867767334,2.0044705867767334,1.7099149227142334,1.7099149227142334
1,1.907368779182434,1.907368779182434,1.6802551746368408,1.6802551746368408
2,1.8888694047927856,1.8888694047927856,1.665555477142334,1.665555477142334
3,1.8761030435562134,1.8761030435562134,1.6595325469970703,1.6595325469970703
4,1.8697829246520996,1.8697829246520996,1.652614712715149,1.652614712715149
5,1.8649797439575195,1.8649797439575195,1.6509813070297241,1.6509813070297241
6,1.861948847770691,1.861948847770691,1.649052381515503,1.649052381515503
7,1.8597326278686523,1.8597326278686523,1.647100806236267,1.647100806236267
8,1.8579682111740112,1.8579682111740112,1.6431539058685303,1.6431539058685303
9,1.8565646409988403,1.8565646409988403,1.6416258811950684,1.6416258811950684
10,1.8555340766906738,1.8555340766906738,1.6429271697998047,1.6429271697998047
11,1.8542474508285522,1.8542474508285522,1.6397745609283447,1.6397745609283447
12,1.853206992149353,1.853206992149353,1.6386032104492188,1.6386032104492188
13,1.8520121574401855,1.8520121574401855,1.6381160020828247,1.6381160020828247
14,1.8515294790267944,1.8515294790267944,1.6390173435211182,1.6390173435211182
15,1.8523046970367432,1.8523046970367432,1.641513705253601,1.641513705253601
16,1.8503446578979492,1.8503446578979492,1.6368772983551025,1.6368772983551025
17,1.848474144935608,1.848474144935608,1.6375811100006104,1.6375811100006104
18,1.8474379777908325,1.8474379777908325,1.6353780031204224,1.6353780031204224
19,1.8472161293029785,1.8472161293029785,1.6334489583969116,1.6334489583969116
20,1.84587562084198,1.84587562084198,1.6362674236297607,1.6362674236297607
21,1.8450912237167358,1.8450912237167358,1.632189393043518,1.632189393043518
22,1.8441928625106812,1.8441928625106812,1.6314542293548584,1.6314542293548584
23,1.8432023525238037,1.8432023525238037,1.6328794956207275,1.6328794956207275
24,1.8411338329315186,1.8411338329315186,1.6317752599716187,1.6317752599716187
25,1.840869665145874,1.840869665145874,1.6288704872131348,1.6288704872131348
26,1.8400428295135498,1.8400428295135498,1.6284964084625244,1.6284964084625244
27,1.8392044305801392,1.8392044305801392,1.6281538009643555,1.6281538009643555
28,1.8378400802612305,1.8378400802612305,1.6293596029281616,1.6293596029281616
29,1.8371530771255493,1.8371530771255493,1.6249170303344727,1.6249170303344727
30,1.835494875907898,1.835494875907898,1.6260249614715576,1.6260249614715576
31,1.834473967552185,1.834473967552185,1.6270357370376587,1.6270357370376587
32,1.8339906930923462,1.8339906930923462,1.6228718757629395,1.6228718757629395
33,1.832339882850647,1.832339882850647,1.6226664781570435,1.6226664781570435
34,1.8312302827835083,1.8312302827835083,1.623275637626648,1.623275637626648
35,1.830969214439392,1.830969214439392,1.622292160987854,1.622292160987854
36,1.8292021751403809,1.8292021751403809,1.6187951564788818,1.6187951564788818
37,1.8280872106552124,1.8280872106552124,1.6205366849899292,1.6205366849899292
38,1.8270448446273804,1.8270448446273804,1.6172150373458862,1.6172150373458862
39,1.8251304626464844,1.8251304626464844,1.616381287574768,1.616381287574768
